student_id,first_name,last_name,email,age,country,registration_date,subscription_type,total_courses_enrolled,is_active
STU00001,Student1,Last1,student1@learn.com,20,DE,2021-08-11,Enterprise,15,True
STU00002,Student2,Last2,student2@learn.com,41,UK,2022-12-04,Annual,18,True
STU00003,Student3,Last3,student3@learn.com,21,AU,2021-10-10,Monthly,4,False
STU00004,Student4,Last4,student4@learn.com,23,BR,2022-10-20,Free,2,True
STU00005,Student5,Last5,student5@learn.com,33,IN,2023-03-17,Monthly,3,True
STU00006,Student6,Last6,student6@learn.com,55,BR,2023-04-13,Monthly,11,True
STU00007,Student7,Last7,student7@learn.com,18,CA,2023-05-30,Monthly,5,True
STU00008,Student8,Last8,student8@learn.com,29,UK,2022-11-08,Free,5,True
STU00009,Student9,Last9,student9@learn.com,40,BR,2022-08-26,Annual,1,True
STU00010,Student10,Last10,student10@learn.com,34,US,2021-05-10,Enterprise,17,True
STU00011,Student11,Last11,student11@learn.com,22,NG,2022-04-05,Annual,17,True
STU00012,Student12,Last12,student12@learn.com,46,PH,2021-08-15,Free,17,True
STU00013,Student13,Last13,student13@learn.com,47,US,2021-03-04,Enterprise,13,False
STU00014,Student14,Last14,student14@learn.com,24,NG,2022-12-31,Enterprise,3,True
STU00015,Student15,Last15,student15@learn.com,38,MX,2021-06-01,Free,5,True
STU00016,Student16,Last16,student16@learn.com,55,PH,2022-12-31,Annual,13,True
STU00017,Student17,Last17,student17@learn.com,47,PH,2022-09-12,Enterprise,4,True
STU00018,Student18,Last18,student18@learn.com,53,BR,2022-03-17,Enterprise,8,False
STU00019,Student19,Last19,student19@learn.com,39,NG,2022-02-13,Enterprise,4,True
STU00020,Student20,Last20,student20@learn.com,45,DE,2022-11-13,Annual,12,True
STU00021,Student21,Last21,student21@learn.com,48,UK,2021-04-04,Free,3,False
STU00022,Student22,Last22,student22@learn.com,24,DE,2023-04-12,Monthly,18,True
STU00023,Student23,Last23,student23@learn.com,55,PH,2022-07-30,Annual,4,False
STU00024,Student24,Last24,student24@learn.com,40,AU,2023-06-08,Free,10,True
STU00025,Student25,Last25,student25@learn.com,40,UK,2022-08-15,Monthly,5,False
STU00026,Student26,Last26,student26@learn.com,32,UK,2021-12-25,Annual,4,True
STU00027,Student27,Last27,student27@learn.com,54,BR,2023-04-07,Enterprise,18,True
STU00028,Student28,Last28,student28@learn.com,35,US,2021-07-04,Annual,10,True
STU00029,Student29,Last29,student29@learn.com,40,US,2021-07-05,Monthly,19,False
STU00030,Student30,Last30,student30@learn.com,22,IN,2023-01-29,Free,3,True
STU00031,Student31,Last31,student31@learn.com,42,AU,2022-04-10,Annual,6,True
STU00032,Student32,Last32,student32@learn.com,37,DE,2023-03-07,Free,2,True
STU00033,Student33,Last33,student33@learn.com,28,MX,2021-02-20,Free,9,False
STU00034,Student34,Last34,student34@learn.com,45,NG,2022-09-14,Enterprise,14,True
STU00035,Student35,Last35,student35@learn.com,31,PH,2021-04-27,Annual,14,True
STU00036,Student36,Last36,student36@learn.com,36,MX,2022-05-14,Annual,2,True
STU00037,Student37,Last37,student37@learn.com,43,MX,2021-02-26,Free,7,True
STU00038,Student38,Last38,student38@learn.com,31,IN,2023-02-22,Annual,10,True
STU00039,Student39,Last39,student39@learn.com,25,US,2022-05-25,Enterprise,6,True
STU00040,Student40,Last40,student40@learn.com,42,PH,2022-12-22,Monthly,17,True
STU00041,Student41,Last41,student41@learn.com,22,AU,2023-06-02,Free,14,True
STU00042,Student42,Last42,student42@learn.com,47,UK,2023-06-02,Annual,19,False
STU00043,Student43,Last43,student43@learn.com,54,AU,2022-12-28,Enterprise,10,True
STU00044,Student44,Last44,student44@learn.com,43,US,2023-09-17,Annual,6,False
STU00045,Student45,Last45,student45@learn.com,41,UK,2022-03-24,Free,8,False
STU00046,Student46,Last46,student46@learn.com,55,AU,2022-06-21,Free,13,True
STU00047,Student47,Last47,student47@learn.com,39,BR,2021-12-08,Monthly,3,True
STU00048,Student48,Last48,student48@learn.com,51,PH,2021-07-18,Annual,12,True
STU00049,Student49,Last49,student49@learn.com,33,UK,2021-05-30,Annual,7,True
STU00050,Student50,Last50,student50@learn.com,27,UK,2021-07-01,Enterprise,15,False
STU00051,Student51,Last51,student51@learn.com,54,MX,2021-11-27,Annual,5,False
STU00052,Student52,Last52,student52@learn.com,22,NG,2022-03-29,Annual,9,True
STU00053,Student53,Last53,student53@learn.com,40,PH,2021-03-17,Annual,15,False
